Club Name,Location - Country,Location - City,Screening Date - Year,Screening Date - Month,Screening Date - Day,Local Release Title,Original Title,US Release Title or English Translation,Director,Year of Production,Country of Production,Duration,Series Theme,,Nature of Screening,Provenance of Print,Other Notes
Gente de Cine,Argentina,Buenos Aires,1952,,,La vida privada de los dioses,Night Life of the Gods,Night Life of the Gods,Lowell Sherman,1935,United States,feature,La farsa de lo irreal,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El hombre de los milagros,The Man who Could Work Miracles,The Man who Could Work Miracles,Lothar Mendes,1937,United Kingdom,feature,La farsa de lo irreal,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Alraune o la Mandrágora,Araune,Alraune,Henrik Galeen,1928,Germany,feature,Lo sobrenatural en el cine alemán,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El estudiante de Praga,Der Student von Prag,The Student of Prague,Arthur Robison,1937,Germany,feature,Lo sobrenatural en el cine alemán,,repeat,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El ángel azul,Der blaue engel,The Blue Angel,Josef von Sternberg,1930,Germany,feature,De la obra de Josef von Sternberg,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Fatalidad,Dishonored,Dishonored,Josef von Sternberg,1931,United States,feature,De la obra de Josef von Sternberg,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El expreso de Shanghai,Shanghai Express,Shanghai Express,Josef von Sternberg,1932,United States,feature,De la obra de Josef von Sternberg,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Eterna ilusión,Rendez-vous de Juillet,Rendezvous in July,Jacques Becker,1949,France,feature,Los premios 1951 en Gente de Cine,,repeat,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Los isleros,Los isleros,The Islanders,Lucas Demare,1951,Argentina,feature,Los premios 1951 en Gente de Cine,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El extraño,The Stranger,The Stranger,Orson Welles,1946,United States,feature,De la obra de Orson Welles,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,La dama de Shanghai,The Lady from Shanghai,The Lady from Shanghai,Orson Welles,1947,United States,feature,De la obra de Orson Welles,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,La tragedia de Macbeth,Macbeth,Macbeth,Orson Welles,1948,United States,feature,De la obra de Orson Welles,,repeat,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Nana,Nana,Nana,Jean Renoir,1926,France,feature,De la obra de Claude Autant-Lara,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El correo de Lyon,L'affaire du courrier de Lyon,Courier of Lyon,Maurice Lehmann,1937,France,feature,De la obra de Claude Autant-Lara,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El pecado de todos,Le ruisseau,The Stream,Maurice Lehmann,1938,France,feature,De la obra de Claude Autant-Lara,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Cartas de amor,Lettres d'amour,Lettres d'amour,Claude Autant-Lara,1942,France,feature,De la obra de Claude Autant-Lara,,preview screening,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Pasión de una noche,Douce,Love Story,Claude Autant-Lara,1945,France,feature,De la obra de Claude Autant-Lara,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Silvia y el fantasma,Sylvie et le fantôme,Sylvia and the Ghost,Claude Autant-Lara,1946,France,feature,De la obra de Claude Autant-Lara,,preview screening,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El diablo y la dama,Le diable au corps,Devil in the Flesh,Claude Autant-Lara,1947,France,feature,De la obra de Claude Autant-Lara,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,La dolorosa,La dolorosa,Our Lady of Sorrows,Jean Grémillon,1934,Spain,feature,De la obra de Jean Gremillon,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El vals del emperador,Valse royale,Royal Waltz,Jean Grémillon,1936,"France, Germany",feature,De la obra de Jean Gremillon,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Aguas borrascosas,Remorques,Stormy Waters,Jean Grémillon,1941,France,feature,De la obra de Jean Gremillon,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Lumière d'été,Lumière d'été,Lumière d'été,Jean Grémillon,1943,France,feature,De la obra de Jean Gremillon,,preview screening,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Heroica pasión,Le ciel est à vous,The Woman who Dared,Jean Grémillon,1944,France,feature,De la obra de Jean Gremillon,,preview screening,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Nous les gosses,Nous les gosses,Portrait of Innocence,Louis Daquin,1941,France,feature,De la obra de Louis Daquin,,repeat,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Alma de alpinista,Premier de cordée,Premier de cordée,Louis Daquin,1944,France,feature,De la obra de Louis Daquin,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Les frères Bouquinquant,Les frères Bouquinquant,The Brothers Bouquinquant,Louis Daquin,1948,France,feature,De la obra de Louis Daquin,,preview screening,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Rayando el sol,Rayando el sol,Celestial Light,Roberto Gavaldón,1944,Mexico,feature,Primeros films de Roberto Gavaldón,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,La barraca,La baracca,The Hut,Roberto Gavaldón,1946,Mexico,feature,Primeros films de Roberto Gavaldón,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El monstruo de barro ,Le golem,The Golem,Julien Duvivier,1936,"France, Czechoslovakia",feature,Revisión de cine francés,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,La gran ilusión,La grande illusion,Grand Illusion,Jean Renoir,1937,France,feature,Revisión de cine francés,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,La muelle de las brumas,Quai des brumes,Port of Shadows,Marcel Carné,1938,France,feature,Revisión de cine francés,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,La bestia humana,La bête humaine,La bête humaine,Jean Renoir,1939,France,feature,Revisión de cine francés,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Las damas del bosque de Bologna,Les dames du Bois de Boulogne,,Robert Bresson,1944,France,feature,Revisión de cine francés,,preview screening,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Pánico,Panique,Panic,Julien Duvivier,1947,France,feature,Revisión de cine francés,,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Dernières vacances,Dernières vacances,The Last Vacation,Roger Leenhardt,1949,France,feature,Revisión de cine francés,,preview screening,,
Gente de Cine,Argentina,Buenos Aires,1952,,,El secreto de Mayerling,Le secret de Mayerling,The Secret of Mayerling,Jean Delannoy,1949,France,feature,Revisión de cine francés,,preview screening,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Al caer la noche,Night Must Fall,Night Must Fall,Richard Thorpe,1937,United States,feature,"Robert Montgomery, actor y director",,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,"Ama, vive y aprende","Live, Love and Learn","Live, Love and Learn",George Fitzmaurice,1937,United States,feature,"Robert Montgomery, actor y director",,,,
Gente de Cine,Argentina,Buenos Aires,1952,,,Fuimos los sacrificados,They Were Expendable, They Were Expendable,John Ford,1945,United States,feature,"Robert Montgomery, actor y director",,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
,,Buenos Aires,,,,,,,,,,,,,,,
